course,course name,course subject,course number,course credits,course description,course outline,course webpage
COMP 6741,Intelligent Systems,COMP,6741,4,Knowledge representation and reasoning. Uncertainty and conflict resolution . . .,https://moodle.concordia.ca/moodle/course/view.php?id=162041#section-0,https://www.concordia.ca/academics/graduate/calendar/current/gina-cody-school-of-engineering-and-computer-science-courses/computer-science-and-software-engineering-master-s-and-phd-courses.html
COMP 6481,PPS,COMP,6481,4,Code,https://moodle.concordia.ca/moodle/course/view.php?id=162041#section-0,https://www.concordia.ca/academics/graduate/calendar/current/gina-cody-school-of-engineering-and-computer-science-courses/computer-science-and-software-engineering-master-s-and-phd-courses.html
